"decision","photo_name","fish_ID","start_time"
"exclude_50_60","r02719_crop_l.b0051.35_start_30_resid_464.PNG","l.b0051.35",30
"exclude_50_60","r02748_crop_w.b0014.5_start_30_resid_460.PNG","w.b0014.5",30
"exclude_50_60","r02770_crop_l.b0057.25_start_120_resid_458.PNG","l.b0057.25",120
"exclude_50_60","r02803_crop_w.b0047.15_start_180_resid_455.PNG","w.b0047.15",180
"exclude_50_60","r02851_crop_l.b0037.36_start_210_resid_450.PNG","l.b0037.36",210
"exclude_50_60","r02853_crop_w.b0028.15_start_120_resid_450.PNG","w.b0028.15",120
"exclude_50_60","r02865_crop_w.b0053.5_start_150_resid_449.PNG","w.b0053.5",150
"exclude_50_60","r02866_crop_l.b0016.5_start_60_resid_448.PNG","l.b0016.5",60
"exclude_50_60","r02875_crop_l.b0041.36_start_240_resid_447.PNG","l.b0041.36",240
"exclude_50_60","r02909_crop_w.b0018.1_start_0_resid_445.PNG","w.b0018.1",0
"exclude_50_60","r02913_crop_l.b0040.25_start_120_resid_444.PNG","l.b0040.25",120
"exclude_50_60","r02919_crop_w.b0047.18_start_240_resid_444.PNG","w.b0047.18",240
"exclude_50_60","r02952_crop_l.b0047.9_start_150_resid_441.PNG","l.b0047.9",150
"exclude_50_60","r03003_crop_w.b0044.4_start_90_resid_438.PNG","w.b0044.4",90
"exclude_50_60","r03015_crop_l.b0045.8_start_120_resid_436.PNG","l.b0045.8",120
"exclude_50_60","r03026_crop_l.b0047.21_start_180_resid_435.PNG","l.b0047.21",180
"exclude_50_60","r03044_crop_w.b0045.19_start_90_resid_434.PNG","w.b0045.19",90
"exclude_50_60","r03132_crop_l.b0050.42_start_120_resid_427.PNG","l.b0050.42",120
"exclude_50_60","r03176_crop_l.b0053.46_start_150_resid_422.PNG","l.b0053.46",150
"exclude_50_60","r03188_crop_l.b0017.14_start_30_resid_420.PNG","l.b0017.14",30
"exclude_50_60","r03228_crop_l.b0017.3_start_30_resid_416.PNG","l.b0017.3",30
"exclude_50_60","r03231_crop_l.b0034.38_start_0_resid_416.PNG","l.b0034.38",0
"exclude_50_60","r03243_crop_w.b0021.8_start_210_resid_415.PNG","w.b0021.8",210
"exclude_50_60","r03263_crop_l.b0044.44_start_180_resid_413.PNG","l.b0044.44",180
"exclude_50_60","r03266_crop_w.b0037.6_start_60_resid_413.PNG","w.b0037.6",60
"exclude_50_60","r03329_crop_w.b0026.1_start_60_resid_409.PNG","w.b0026.1",60
"exclude_50_60","r03372_crop_l.b0044.2_start_150_resid_405.PNG","l.b0044.2",150
"exclude_50_60","r03386_crop_l.b0024.36_start_30_resid_404.PNG","l.b0024.36",30
"exclude_50_60","r03432_crop_l.b0019.42_start_150_resid_401.PNG","l.b0019.42",150
"exclude_50_60","r03437_crop_l.b0038.23_start_120_resid_401.PNG","l.b0038.23",120
"exclude_50_60","r03455_crop_l.b0047.21_start_60_resid_400.PNG","l.b0047.21",60
"exclude_50_60","r03612_crop_l.b0037.43_start_270_resid_389.PNG","l.b0037.43",270
"exclude_50_60","r03632_crop_l.b0046.18_start_180_resid_388.PNG","l.b0046.18",180
"exclude_50_60","r03655_crop_l.b0032.32_start_0_resid_386.PNG","l.b0032.32",0
"exclude_50_60","r03661_crop_l.b0043.7_start_60_resid_386.PNG","l.b0043.7",60
"exclude_50_60","r03680_crop_l.b0040.43_start_240_resid_385.PNG","l.b0040.43",240
"exclude_50_60","r03689_crop_w.b0026.2_start_60_resid_384.PNG","w.b0026.2",60
"exclude_50_60","r03756_crop_l.b0034.38_start_240_resid_379.PNG","l.b0034.38",240
"exclude_50_60","r03775_crop_l.b0050.26_start_120_resid_378.PNG","l.b0050.26",120
"exclude_50_60","r03847_crop_l.b0043.28_start_240_resid_373.PNG","l.b0043.28",240
